artifact,artifact_type,path,required,exists,size_bytes,sha256
report_dataframe,csv,outputs/19_lama_report_generation/metrics/lama_report_dataframe.csv,True,True,1468035,c032781d43c9cd27aeac949dad95fe80acf8680e6664b6c2df958ec345416669
selected_cases,csv,outputs/19_lama_report_generation/metrics/lama_report_selected_cases.csv,True,True,81682,314347ee1b207bae8f0fbf4da83b13291ae24cc08d8b1d0e0ea32bcfa6eaa2cf
report_summaries,csv,outputs/19_lama_report_generation/metrics/lama_report_summaries.csv,True,True,4428,1b690573ed7f624d076a0525c9abbea0a9425b283a4eec525a8128532b09dd99
metric_correlations,csv,outputs/19_lama_report_generation/metrics/lama_report_metric_correlations.csv,True,True,681,30e3e1a1eb7bd259afc220cf758c0678efcd5e3055754f3acc6face8217f6d6d
metric_overview,csv,outputs/19_lama_report_generation/metrics/lama_report_metric_overview.csv,True,True,1173,13a8b792c9b3f0201af89941ad8f246248942739b565f748744552729d274b92
report_status_cards,csv,outputs/19_lama_report_generation/metrics/lama_report_status_cards.csv,True,True,223,21de48205203f588170678af846e5a404e5aaa5c8845755d34d5e3fea0529bfe
report_findings,csv,outputs/19_lama_report_generation/metrics/lama_report_findings.csv,False,True,749,54a76b4f13b1ca131686b9aeaa8bbd6f4dc5c46109f5d6f81a591272ce012a3e
selected_case_report_table,csv,outputs/19_lama_report_generation/metrics/lama_report_selected_case_table.csv,True,True,8128,8c2dc8d0b166c017796b02635d4bf58094afc710ba2f10301d51858edc8f0b14
figure_manifest,csv,outputs/19_lama_report_generation/figures/report_diagnostics_lama/lama_report_figure_manifest.csv,True,True,11685,4b997b88880998ac41424c0694984154880e219e0bbf303617e1a780a46b1e89
case_panel_manifest,csv,outputs/19_lama_report_generation/figures/report_diagnostics_lama/lama_report_selected_case_panel_manifest.csv,False,True,15948,56da89838a4fcd60839bd50c6e0cff59b117c861c4067c9f1d36df397dc0e114
table_shapes,csv,outputs/19_lama_report_generation/validation/lama_report_generation_table_shapes.csv,True,True,1060,cdd72d6625f4ed1a71570e7288d8a24fb8b2d9e98b40cc62e09f677f79baece0
batch_status,csv,outputs/19_lama_report_generation/validation/lama_report_generation_batch_status.csv,True,True,650,9803efe5fa45379116510ad90d094d88eeb44bf7ac9e650b3d8c5e23edc26914
html_report,html,outputs/19_lama_report_generation/reports/lama_restoration_evaluation_report.html,True,True,49476,c0ad04557c3e28a5eb2c3b95188065f3ada5746b4c469ba2f22e307e3d4935c9
stage_manifest,json,outputs/19_lama_report_generation/manifests/19_lama_report_generation_manifest.json,True,True,17175,13ff2152d64befabc4498ffcfd3850b1f84a2aa57d038d2fecb5526653d892b4
handoff_manifest,json,outputs/19_lama_report_generation/metrics/lama_report_handoff_manifest.json,True,True,9125,a1198c9aadf094a080c696d46c3d1cf272c256ae8606422d4303d3576d150688
final_validation,csv,outputs/19_lama_report_generation/validation/lama_report_generation_validation.csv,True,True,1250,92584c96cdfc33fb94656e35e434af28a2f8df5de66c01097af2676b1cfba427
