case_id,dataset_name,painting_id,mask_id,mask_type,opencv_clean_path,opencv_damaged_path,opencv_mask_path,opencv_restored_path,opencv_runtime_seconds,opencv_output_written,opencv_status,opencv_issue,opencv_source_rows,lama_mask_area_pixels,lama_clean_path,lama_damaged_path,lama_mask_path,lama_restored_path,lama_runtime_seconds,lama_output_written,lama_status,lama_issue,lama_iopaint_returncode,lama_source_rows,restoration_pair_status
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/masks/p001_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p001_loss_large_restored_opencv_telea.png,0.6496967999846675,True,ok,,1,69018,data\processed\clean\p001_clean.png,data\processed\masked\p001_loss_large_damaged.png,data\processed\masks\p001_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p001_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p001_loss_small_restored_opencv_telea.png,0.5779497000039555,True,ok,,1,18239,data\processed\clean\p001_clean.png,data\processed\masked\p001_loss_small_damaged.png,data\processed\masks\p001_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p001_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,data/processed/clean/p001_clean.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p001_mixed_damage_restored_opencv_telea.png,0.6422706000157632,True,ok,,1,45733,data\processed\clean\p001_clean.png,data\processed\masked\p001_mixed_damage_damaged.png,data\processed\masks\p001_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p001_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,data/processed/clean/p001_clean.png,data/processed/masked/p001_scratch_thin_damaged.png,data/processed/masks/p001_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p001_scratch_thin_restored_opencv_telea.png,0.5956975999870338,True,ok,,1,12058,data\processed\clean\p001_clean.png,data\processed\masked\p001_scratch_thin_damaged.png,data\processed\masks\p001_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p001_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p001_zero_control,canonical,p001,p001_zero_control,zero_control,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/masks/p001_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p001_zero_control_restored_opencv_telea.png,0.5527208999847062,True,ok,,1,0,data\processed\clean\p001_clean.png,data\processed\masked\p001_zero_control_damaged.png,data\processed\masks\p001_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p001_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_large_damaged.png,data/processed/masks/p002_loss_large_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p002_loss_large_restored_opencv_telea.png,0.422166800010018,True,ok,,1,37439,data\processed\clean\p002_clean.png,data\processed\masked\p002_loss_large_damaged.png,data\processed\masks\p002_loss_large_mask.png,data/processed/restored/lama/canonical/canonical__p002_loss_large_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_small_damaged.png,data/processed/masks/p002_loss_small_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p002_loss_small_restored_opencv_telea.png,0.3722886000177823,True,ok,,1,18776,data\processed\clean\p002_clean.png,data\processed\masked\p002_loss_small_damaged.png,data\processed\masks\p002_loss_small_mask.png,data/processed/restored/lama/canonical/canonical__p002_loss_small_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,data/processed/clean/p002_clean.png,data/processed/masked/p002_mixed_damage_damaged.png,data/processed/masks/p002_mixed_damage_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p002_mixed_damage_restored_opencv_telea.png,0.4222679000231437,True,ok,,1,34546,data\processed\clean\p002_clean.png,data\processed\masked\p002_mixed_damage_damaged.png,data\processed\masks\p002_mixed_damage_mask.png,data/processed/restored/lama/canonical/canonical__p002_mixed_damage_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p002_scratch_thin,canonical,p002,p002_scratch_thin,scratch_thin,data/processed/clean/p002_clean.png,data/processed/masked/p002_scratch_thin_damaged.png,data/processed/masks/p002_scratch_thin_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p002_scratch_thin_restored_opencv_telea.png,0.3840182999847457,True,ok,,1,9599,data\processed\clean\p002_clean.png,data\processed\masked\p002_scratch_thin_damaged.png,data\processed\masks\p002_scratch_thin_mask.png,data/processed/restored/lama/canonical/canonical__p002_scratch_thin_restored_lama.png,1.4609382327775366,True,ok,,0,1,paired
canonical__p002_zero_control,canonical,p002,p002_zero_control,zero_control,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/masks/p002_zero_control_mask.png,data\processed\restored\opencv_telea\canonical\canonical__p002_zero_control_restored_opencv_telea.png,0.3538499000133015,True,ok,,1,0,data\processed\clean\p002_clean.png,data\processed\masked\p002_zero_control_damaged.png,data\processed\masks\p002_zero_control_mask.png,data/processed/restored/lama/canonical/canonical__p002_zero_control_restored_lama.png,0.0,True,ok,zero_control copied without model inference,0,1,paired
