dataset_name,case_id,restoration_case_id,source_case_id_original,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,has_nonzero_mask,source_mask_semantics,lama_applicability,inference_mode,execution_device,restoration_method,metric_case_key,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue,clean_path,damaged_path,mask_path,restored_path
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,full_image,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__full_image,589824,0.0,0.0,768.0,768.0,69018.0,13.554629,11.701457,5726.787109375,66.39713287353516,5660.389976501465,25.746435165405273,1.274566650390625,24.47186851501465,10.55169322148189,29.90931034573485,19.357617124252958,0.8946645358475723,0.96763725377122,0.07297271792364768,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,content_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__content_region,509184,52.0,0.0,715.0,768.0,69018.0,13.554629,11.701457,6633.74560546875,76.9124984741211,6556.833106994629,29.823930740356445,1.4764211177825928,28.347509622573853,9.913215479291765,29.270834413878603,19.35761893458684,0.8778301009373667,0.9624651253784928,0.08463502444112614,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,masked_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__masked_region,69018,,,,,69018.0,13.554629,11.701457,48940.8125,567.4262084960938,48373.386291503906,220.0276641845703,10.892375946044922,209.1352882385254,1.2340918577168505,20.591709695871998,19.357617838155146,,,,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,boundary_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__boundary_region,7649,,,,,69018.0,13.554629,11.701457,25403.802734375,7.777923107147217,25396.024811267853,112.04157257080078,1.366976022720337,110.67459654808044,4.081816291715646,39.22216715487522,35.140350863159576,,,,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,outside_mask_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__outside_mask_region,440166,,,,,69018.0,13.554629,11.701457,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,lama,mask_bbox_crop,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_large__lama__mask_bbox_crop,124600,197.0,71.0,642.0,351.0,69018.0,13.554629,11.701457,27109.126953125,314.3067626953125,26794.820190429688,121.8769302368164,6.0334672927856445,115.84346294403076,3.7996482947501558,23.15726635371615,19.357618058965993,0.49152515465372043,0.8437787072372208,0.3522535525835004,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_large_restored_lama.png
canonical,canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,full_image,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_small__lama__full_image,589824,0.0,0.0,768.0,768.0,18239.0,3.582006,3.092278,1679.8555908203125,1.992357611656189,1677.8632332086563,7.1887383460998535,0.1357608437538147,7.052977502346039,15.878084117643688,45.13713067528325,29.259046557639564,0.9610123391225001,0.9935340938717475,0.032521754749247456,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_small_restored_lama.png
canonical,canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,content_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_small__lama__content_region,509184,52.0,0.0,715.0,768.0,18239.0,3.582006,3.092278,1945.896240234375,2.307889461517334,1943.5883507728577,8.327226638793945,0.1572614163160324,8.169965222477913,15.239606819217268,44.49865356818659,29.259046748969322,0.9547814344160507,0.9925007298786478,0.03771929546259711,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_small_restored_lama.png
canonical,canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,masked_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_small__lama__masked_region,18239,,,,,18239.0,3.582006,3.092278,54324.203125,64.43008422851562,54259.773040771484,232.4738311767578,4.390317440032959,228.08351373672485,0.7808699644053069,30.03991661774309,29.25904665333778,,,,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_small_restored_lama.png
canonical,canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,lama,boundary_region,True,binary_missing_content,primary,model_inference,cuda,iopaint_lama,canonical__canonical__p001_loss_small__lama__boundary_region,8885,,,,,18239.0,3.582006,3.092278,26233.27734375,11.077134132385254,26222.200209617615,111.96698760986328,1.472856879234314,110.49413073062897,3.9422781014056802,37.686529462771226,33.74425136136554,,,,restoration_eval.metrics_classical,2.0.0,2026-07-28T09:08:42.082189+00:00,3.12.6,2.1.3,2.2.3,0.26.0,ok,,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p001_loss_small_restored_lama.png
