painting_id,category,title,artist,date,style_or_period,medium,has_artist,has_date,has_style_or_period,has_medium,available_prompt_field_count,complete_prompt_metadata
p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,True,True,True,True,4,True
p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,True,True,True,True,4,True
p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,Neoclassical / early 19th century,Oil on canvas,True,True,True,True,4,True
p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,Impressionism,Oil on canvas,True,True,True,True,4,True
p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,18th century portraiture,Oil on canvas,True,True,True,True,4,True
p006,portrait_figure,Boy with a Sword,Édouard Manet,1861,Realism / early modern French painting,Oil on canvas,True,True,True,True,4,True
p007,portrait_figure,Princesse de Broglie,Jean-Auguste-Dominique Ingres,1851-53,Neoclassical,Oil on canvas,True,True,True,True,4,True
p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,1787-88,Spanish portraiture,Oil on canvas,True,True,True,True,4,True
p009,portrait_figure,Madame Roulin and Her Baby,Vincent van Gogh,1888,Post-Impressionism,Oil on canvas,True,True,True,True,4,True
p010,portrait_figure,Joan of Arc,Jules Bastien-Lepage,1879,19th century French painting,Oil on canvas,True,True,True,True,4,True
p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,Jan van Goyen,,,,True,False,False,False,1,False
p012,landscape_natural,An Extensive Wooded Landscape,Philips Koninck,,,,True,False,False,False,1,False
p013,landscape_natural,Landscape with a Village in the Distance,Jacob van Ruisdael,,,,True,False,False,False,1,False
p014,landscape_natural,Landscape on a River,Charles-François Daubigny,,,,True,False,False,False,1,False
p015,landscape_natural,Landscape,Henri-Joseph Harpignies,,,,True,False,False,False,1,False
p016,landscape_natural,Wooded Landscape with a House beside a River,Thomas Gainsborough,,,,True,False,False,False,1,False
p017,landscape_natural,Picturesque Landscape,"Anonymous, British, 18th century",,,,True,False,False,False,1,False
p018,landscape_natural,Classical Landscape with Figures,Henri Mauperché,,,,True,False,False,False,1,False
p019,landscape_natural,Evening: Landscape with an Aqueduct,Théodore Géricault,,,,True,False,False,False,1,False
p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),Unknown,,,,True,False,False,False,1,False
p021,architecture_structured,Interior of the Oude Kerk in Delft,Gerard Houckgeest,,,,True,False,False,False,1,False
p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,,,True,False,False,False,1,False
p023,architecture_structured,Church Interior,Johannes Bosboom,,,,True,False,False,False,1,False
p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,Johannes Bosboom,,,,True,False,False,False,1,False
p025,architecture_structured,The Quay de Paris in Rouen,Johannes Bosboom,,,,True,False,False,False,1,False
p026,architecture_structured,View of a Village along a River,attributed to Jan Brueghel I,,,,True,False,False,False,1,False
p027,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,Jan Both,,,,True,False,False,False,1,False
p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),workshop of Johannes Vinckboons,,,,True,False,False,False,1,False
p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,,,True,False,False,False,1,False
p030,architecture_structured,Interior with Five Women,attributed to Dirck van Delen,,,,True,False,False,False,1,False
p031,abstraction_surrealism,Improvisation No. 30 (Cannons),Wassily Kandinsky,,,,True,False,False,False,1,False
p032,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,,,True,False,False,False,1,False
p033,abstraction_surrealism,Movement,Marsden Hartley,,,,True,False,False,False,1,False
p034,abstraction_surrealism,Painting with Green Center,Wassily Kandinsky,,,,True,False,False,False,1,False
p035,abstraction_surrealism,The Bewitched Mill,Franz Marc,,,,True,False,False,False,1,False
p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Piet Mondrian,,,,True,False,False,False,1,False
p037,abstraction_surrealism,In the Sea,Arnold Böcklin,,,,True,False,False,False,1,False
p038,abstraction_surrealism,Mahana no atua (Day of the God),Paul Gauguin,,,,True,False,False,False,1,False
p039,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,,,True,False,False,False,1,False
p040,abstraction_surrealism,Houses at Murnau,Wassily Kandinsky,,,,True,False,False,False,1,False
p041,high_texture_brushwork,Wheat Field with Cypresses,Vincent van Gogh,1889,Post-Impressionism,Oil on canvas,True,True,True,True,4,True
p042,high_texture_brushwork,View of Beirut,Jules Coignet,,,,True,False,False,False,1,False
p043,high_texture_brushwork,The Card Players,Paul Cézanne,1890-92,Post-Impressionism,Oil on canvas,True,True,True,True,4,True
p044,high_texture_brushwork,Versailles,Auguste Renoir,1900-1905,Impressionism,Oil on canvas,True,True,True,True,4,True
p045,high_texture_brushwork,Two Girls with Parasols,John Singer Sargent,1889,Impressionist outdoor figure painting,Oil on canvas,True,True,True,True,4,True
p046,high_texture_brushwork,Boating,Édouard Manet,1874,Impressionism / modern French painting,Oil on canvas,True,True,True,True,4,True
p047,high_texture_brushwork,The Dance Class,Edgar Degas,1874,Impressionism,Oil on canvas,True,True,True,True,4,True
p048,high_texture_brushwork,A Farm in Brittany,Paul Gauguin,1894,Post-Impressionism,Oil on canvas,True,True,True,True,4,True
p049,high_texture_brushwork,Peonies,Édouard Manet,1864-65,Modern French painting,Oil on canvas,True,True,True,True,4,True
p050,high_texture_brushwork,Landscape with a Sunlit Stream,Charles-François Daubigny,,,,True,False,False,False,1,False
